"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 00:00","2022","11","01","00:00","","10.6","","10.5","","99","","0.0","","","M","4","","0.4","","100.27","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 01:00","2022","11","01","01:00","","10.3","","10.2","","99","","0.0","","29","","9","","0.4","","100.31","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 02:00","2022","11","01","02:00","","10.2","","10.1","","99","","0.0","","25","","5","","0.4","","100.34","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 03:00","2022","11","01","03:00","","10.1","","10.1","","100","","0.0","","","M","4","","0.8","","100.34","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 04:00","2022","11","01","04:00","","10.0","","10.0","","100","","0.0","","29","","9","","1.2","","100.34","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 05:00","2022","11","01","05:00","","10.4","","10.4","","100","","0.0","","31","","13","","6.4","","100.40","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 06:00","2022","11","01","06:00","","10.6","","10.6","","100","","0.0","","27","","9","","8.1","","100.46","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 07:00","2022","11","01","07:00","","10.5","","10.5","","100","","0.2","","29","","9","","9.7","","100.52","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 08:00","2022","11","01","08:00","","10.9","","10.9","","100","","0.0","","30","","13","","6.4","","100.61","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 09:00","2022","11","01","09:00","","11.9","","11.9","","100","","0.0","","31","","13","","8.1","","100.68","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 10:00","2022","11","01","10:00","","14.5","","13.6","","94","","0.0","","31","","15","","9.7","","100.76","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 11:00","2022","11","01","11:00","","15.7","","12.9","","83","","0.0","","32","","11","","16.1","","100.79","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 12:00","2022","11","01","12:00","","16.8","","13.3","","79","","0.0","","29","","11","","16.1","","100.76","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 13:00","2022","11","01","13:00","","15.8","","12.9","","83","","0.0","","19","","15","","16.1","","100.77","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 14:00","2022","11","01","14:00","","13.5","","12.0","","90","","0.0","","20","","17","","11.3","","100.79","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 15:00","2022","11","01","15:00","","14.5","","12.7","","89","","0.0","","18","","5","","8.1","","100.85","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 16:00","2022","11","01","16:00","","14.3","","12.4","","88","","0.0","","","","0","","12.9","","100.91","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 17:00","2022","11","01","17:00","","13.1","","11.8","","92","","0.0","","","M","4","","12.9","","100.98","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 18:00","2022","11","01","18:00","","10.9","","10.6","","98","","0.0","","27","","9","","3.2","","101.09","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 19:00","2022","11","01","19:00","","10.2","","9.9","","98","","0.0","","22","","8","","2.8","","101.18","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 20:00","2022","11","01","20:00","","14.3","","10.9","","80","","0.0","","31","","21","","16.1","","101.26","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 21:00","2022","11","01","21:00","","13.8","","9.7","","76","","0.0","","33","","11","","16.1","","101.32","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-11-01 22:00","2022","11","01","22:00","","12.4","","9.3","","81","","0.0","","32","","8","","16.1","","101.38","","","","","","NA"
