"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 00:00","2021","07","01","00:00","","21.9","","17.3","","75","","0.0","","29","","8","","16.1","","100.42","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 01:00","2021","07","01","01:00","","18.6","","16.6","","88","","0.0","","28","","5","","16.1","","100.38","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 02:00","2021","07","01","02:00","","18.7","","16.7","","88","","0.0","","29","","5","","16.1","","100.33","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 03:00","2021","07","01","03:00","","20.3","","17.2","","82","","0.0","","31","","8","","16.1","","100.32","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 04:00","2021","07","01","04:00","","16.0","","15.4","","96","","0.0","","19","","4","","16.1","","100.29","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 05:00","2021","07","01","05:00","","18.4","","16.6","","89","","0.0","","31","","9","","16.1","","100.32","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 06:00","2021","07","01","06:00","","20.2","","16.8","","80","","0.0","","33","","5","","16.1","","100.32","","25","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 07:00","2021","07","01","07:00","","20.5","","17.0","","80","","0.0","","30","","8","","16.1","","100.30","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 08:00","2021","07","01","08:00","","21.4","","17.2","","77","","0.0","","","M","4","","16.1","","100.30","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 09:00","2021","07","01","09:00","","21.6","","17.5","","77","","0.0","","16","","13","","16.1","","100.30","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 10:00","2021","07","01","10:00","","21.5","","17.4","","77","","0.0","","","M","4","","16.1","","100.28","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 11:00","2021","07","01","11:00","","22.0","","18.0","","78","","0.0","","18","","8","","16.1","","100.28","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 12:00","2021","07","01","12:00","","22.4","","17.7","","74","","0.0","","17","","11","","16.1","","100.25","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-07-01 13:00","2021","07","01","13:00","","21.4","","17.4","","78","","0.0","","17","","17","","16.1","","100.19","","27","","","","NA"
