"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 00:00","2014","09","01","00:00","","20.8","","18.6","","87","","0.0","","8","","9","","16.1","","100.46","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 01:00","2014","09","01","01:00","","20.0","","18.0","","88","","0.0","","11","","8","","16.1","","100.48","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 02:00","2014","09","01","02:00","","20.2","","17.8","","86","","0.0","","9","","9","","16.1","","100.49","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 03:00","2014","09","01","03:00","","19.8","","17.8","","88","","0.0","","7","","8","","16.1","","100.52","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 04:00","2014","09","01","04:00","","20.0","","17.6","","86","","0.0","","6","","13","","16.1","","100.51","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 05:00","2014","09","01","05:00","","19.7","","17.7","","88","","0.0","","7","","11","","16.1","","100.50","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 06:00","2014","09","01","06:00","","19.6","","18.3","","92","","0.0","","7","","13","","16.1","","100.51","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 07:00","2014","09","01","07:00","","20.2","","18.9","","92","","0.0","","8","","5","","16.1","","100.51","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 08:00","2014","09","01","08:00","","21.1","","19.8","","92","","0.0","","15","","5","","8.1","","100.47","","29","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 09:00","2014","09","01","09:00","","21.1","","20.3","","95","","0.0","","10","","5","","3.2","","100.45","","29","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 10:00","2014","09","01","10:00","","22.1","","20.8","","92","","0.0","","10","","8","","12.9","","100.41","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 11:00","2014","09","01","11:00","","24.1","","21.1","","83","","0.0","","16","","13","","16.1","","100.37","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 12:00","2014","09","01","12:00","","25.4","","21.6","","79","","0.0","","12","","11","","12.9","","100.31","","34","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 13:00","2014","09","01","13:00","","24.6","","21.2","","81","","0.0","","12","","11","","16.1","","100.26","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 14:00","2014","09","01","14:00","","25.8","","21.3","","76","","0.0","","17","","15","","16.1","","100.16","","34","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 15:00","2014","09","01","15:00","","25.8","","21.4","","76","","0.0","","17","","17","","16.1","","100.11","","35","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 16:00","2014","09","01","16:00","","25.4","","20.9","","76","","0.0","","17","","17","","16.1","","100.03","","34","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 17:00","2014","09","01","17:00","","24.2","","20.3","","78","","0.0","","18","","15","","16.1","","100.00","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 18:00","2014","09","01","18:00","","23.8","","20.0","","79","","0.0","","19","","13","","16.1","","100.00","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 19:00","2014","09","01","19:00","","22.1","","19.9","","87","","0.0","","24","","5","","16.1","","100.06","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 20:00","2014","09","01","20:00","","21.9","","19.9","","88","","0.0","","20","","9","","16.1","","100.05","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 21:00","2014","09","01","21:00","","22.3","","20.1","","87","","0.0","","19","","8","","16.1","","99.98","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 22:00","2014","09","01","22:00","","21.7","","20.4","","92","","1.8","","27","","13","","16.1","","99.97","","30","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-01 23:00","2014","09","01","23:00","","21.9","","20.2","","90","","0.5","","21","","13","","16.1","","99.90","","30","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 00:00","2014","09","02","00:00","","22.4","","20.0","","86","","0.0","","24","","30","","16.1","","99.92","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 01:00","2014","09","02","01:00","","21.5","","19.8","","90","","0.0","","25","","18","","16.1","","99.92","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 02:00","2014","09","02","02:00","","21.0","","19.7","","92","","0.0","","23","","15","","16.1","","99.93","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 03:00","2014","09","02","03:00","","20.8","","19.7","","93","","0.0","","23","","15","","16.1","","99.95","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 04:00","2014","09","02","04:00","","20.4","","19.6","","95","","0.0","","23","","11","","9.7","","99.99","","28","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 05:00","2014","09","02","05:00","","20.3","","19.5","","95","","0.0","","26","","5","","9.7","","100.05","","27","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 06:00","2014","09","02","06:00","","20.2","","19.6","","96","","0.0","","24","","9","","9.7","","100.11","","27","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 07:00","2014","09","02","07:00","","21.1","","20.1","","94","","0.0","","22","","9","","11.3","","100.11","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 08:00","2014","09","02","08:00","","21.6","","20.3","","92","","0.0","","20","","11","","12.9","","100.09","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 09:00","2014","09","02","09:00","","22.2","","20.3","","89","","0.0","","21","","13","","14.5","","100.10","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 10:00","2014","09","02","10:00","","22.3","","20.4","","89","","0.0","","19","","11","","12.9","","100.12","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 11:00","2014","09","02","11:00","","23.0","","20.7","","86","","0.0","","19","","11","","14.5","","100.05","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 12:00","2014","09","02","12:00","","21.9","","20.6","","92","","0.2","","17","","9","","8.1","","99.98","","30","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2014-09-02 13:00","2014","09","02","13:00","","22.0","","20.7","","92","","0.8","","16","","15","","6.4","","99.92","","30","","","","Rain,Fog"
