"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 00:00","2018","06","01","00:00","","18.5","","17.0","","91","","0.0","","","","0","","16.1","","99.75","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 01:00","2018","06","01","01:00","","18.3","","17.2","","93","","0.0","","","M","4","","16.1","","99.76","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 02:00","2018","06","01","02:00","","18.4","","17.3","","93","","0.0","","6","","5","","16.1","","99.70","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 03:00","2018","06","01","03:00","","18.2","","17.4","","95","","0.0","","6","","5","","16.1","","99.71","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 04:00","2018","06","01","04:00","","17.7","","17.1","","96","","0.0","","4","","5","","12.9","","99.73","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 05:00","2018","06","01","05:00","","17.2","","16.6","","96","","0.0","","8","","5","","11.3","","99.71","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 06:00","2018","06","01","06:00","","17.6","","16.6","","94","","0.0","","10","","9","","16.1","","99.78","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 07:00","2018","06","01","07:00","","18.3","","17.2","","93","","0.0","","4","","5","","16.1","","99.84","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 08:00","2018","06","01","08:00","","20.4","","18.6","","89","","0.0","","","M","4","","16.1","","99.86","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 09:00","2018","06","01","09:00","","20.6","","18.6","","88","","0.0","","21","","9","","16.1","","99.88","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 10:00","2018","06","01","10:00","","21.7","","19.1","","85","","0.0","","19","","11","","16.1","","99.91","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 11:00","2018","06","01","11:00","","21.7","","19.1","","85","","0.0","","23","","5","","16.1","","99.93","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 12:00","2018","06","01","12:00","","26.0","","20.1","","70","","0.0","","","M","9","","16.1","","99.92","","34","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 13:00","2018","06","01","13:00","","26.5","","19.5","","65","","0.0","","32","","11","","16.1","","99.89","","34","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 14:00","2018","06","01","14:00","","27.0","","19.6","","63","","0.0","","32","","11","","16.1","","99.88","","34","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 15:00","2018","06","01","15:00","","28.4","","19.5","","58","","0.0","","30","","13","","16.1","","99.88","","36","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 16:00","2018","06","01","16:00","","27.8","","18.5","","57","","0.0","","1","","24","","16.1","","99.84","","34","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 17:00","2018","06","01","17:00","","26.7","","17.4","","56","","0.0","","35","","24","","16.1","","99.91","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 18:00","2018","06","01","18:00","","25.4","","17.2","","60","","0.0","","33","","21","","16.1","","99.96","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 19:00","2018","06","01","19:00","","24.0","","17.3","","66","","0.0","","33","","21","","16.1","","100.04","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 20:00","2018","06","01","20:00","","22.0","","15.9","","68","","0.0","","33","","17","","16.1","","100.09","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 21:00","2018","06","01","21:00","","21.4","","15.3","","68","","0.0","","33","","17","","16.1","","100.14","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 22:00","2018","06","01","22:00","","19.4","","13.7","","69","","0.0","","33","","24","","16.1","","100.18","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-01 23:00","2018","06","01","23:00","","18.8","","13.9","","73","","0.0","","35","","18","","16.1","","100.22","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 00:00","2018","06","02","00:00","","18.4","","13.7","","74","","0.0","","34","","17","","16.1","","100.26","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 01:00","2018","06","02","01:00","","17.7","","13.3","","75","","0.0","","35","","18","","16.1","","100.31","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 02:00","2018","06","02","02:00","","17.0","","12.4","","74","","0.0","","36","","11","","16.1","","100.32","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 03:00","2018","06","02","03:00","","16.1","","11.9","","76","","0.0","","35","","21","","16.1","","100.34","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 04:00","2018","06","02","04:00","","16.1","","11.9","","76","","0.0","","4","","11","","16.1","","100.37","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 05:00","2018","06","02","05:00","","15.9","","11.5","","75","","0.0","","3","","13","","16.1","","100.47","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 06:00","2018","06","02","06:00","","15.6","","11.0","","74","","0.0","","36","","11","","16.1","","100.56","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 07:00","2018","06","02","07:00","","14.6","","10.5","","76","","0.0","","4","","18","","16.1","","100.63","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 08:00","2018","06","02","08:00","","15.2","","10.5","","73","","0.0","","3","","17","","16.1","","100.64","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 09:00","2018","06","02","09:00","","15.6","","10.4","","71","","0.0","","6","","18","","16.1","","100.62","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 10:00","2018","06","02","10:00","","15.4","","10.6","","73","","0.0","","8","","18","","16.1","","100.61","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 11:00","2018","06","02","11:00","","16.0","","11.2","","73","","0.0","","8","","17","","16.1","","100.61","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 12:00","2018","06","02","12:00","","15.9","","10.8","","71","","0.0","","10","","13","","16.1","","100.62","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 13:00","2018","06","02","13:00","","16.5","","11.1","","70","","0.0","","12","","13","","16.1","","100.62","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 14:00","2018","06","02","14:00","","17.1","","12.1","","72","","0.0","","20","","13","","16.1","","100.61","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 15:00","2018","06","02","15:00","","16.0","","11.6","","75","","0.0","","19","","13","","16.1","","100.59","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 16:00","2018","06","02","16:00","","15.9","","11.9","","77","","0.0","","17","","11","","16.1","","100.57","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 17:00","2018","06","02","17:00","","15.9","","12.3","","79","","0.0","","21","","8","","16.1","","100.51","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 18:00","2018","06","02","18:00","","15.4","","11.9","","79","","0.0","","23","","5","","16.1","","100.49","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 19:00","2018","06","02","19:00","","16.5","","11.5","","72","","0.0","","7","","5","","16.1","","100.47","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 20:00","2018","06","02","20:00","","16.5","","12.3","","76","","0.0","","7","","11","","16.1","","100.46","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 21:00","2018","06","02","21:00","","17.3","","12.0","","71","","0.0","","12","","5","","16.1","","100.48","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 22:00","2018","06","02","22:00","","17.5","","12.3","","71","","0.0","","6","","8","","16.1","","100.51","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-02 23:00","2018","06","02","23:00","","17.3","","12.4","","73","","0.0","","6","","5","","16.1","","100.52","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-03 00:00","2018","06","03","00:00","","15.6","","12.4","","81","","0.0","","10","","4","","16.1","","100.45","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-03 01:00","2018","06","03","01:00","","16.7","","12.7","","77","","0.0","","5","","9","","16.1","","100.39","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-03 02:00","2018","06","03","02:00","","16.7","","12.6","","77","","0.0","","","","0","","16.1","","100.38","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-03 03:00","2018","06","03","03:00","","15.5","","12.5","","82","","0.0","","","M","4","","16.1","","100.33","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-03 04:00","2018","06","03","04:00","","17.1","","11.2","","68","","0.0","","7","","15","","16.1","","100.26","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-06-03 05:00","2018","06","03","05:00","","16.7","","9.6","","63","","0.0","","8","","17","","16.1","","100.24","","","","","","NA"
