"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 00:00","2021","01","01","00:00","","-1.3","","-4.7","","78","","0.0","","25","","4","","16.1","","102.17","","","","-3","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 01:00","2021","01","01","01:00","","-1.2","","-3.6","","84","","0.0","","24","","4","","16.1","","102.16","","","","-3","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 02:00","2021","01","01","02:00","","-1.8","","-3.2","","90","","0.0","","27","","4","","16.1","","102.19","","","","-3","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 03:00","2021","01","01","03:00","","-2.0","","-3.3","","91","","0.0","","30","","5","","16.1","","102.26","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 04:00","2021","01","01","04:00","","-1.4","","-3.5","","85","","0.0","","27","","5","","16.1","","102.24","","","","-3","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 05:00","2021","01","01","05:00","","0.4","","-3.9","","73","","0.0","","31","","5","","16.1","","102.13","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 06:00","2021","01","01","06:00","","0.0","","-3.2","","79","","0.0","","","","0","","16.1","","102.14","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 07:00","2021","01","01","07:00","","0.5","","-3.6","","74","","0.0","","27","","5","","16.1","","102.15","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 08:00","2021","01","01","08:00","","1.2","","-4.9","","64","","0.0","","15","","11","","16.1","","102.24","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 09:00","2021","01","01","09:00","","1.4","","-4.6","","65","","0.0","","11","","8","","16.1","","102.16","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 10:00","2021","01","01","10:00","","1.5","","-4.4","","65","","0.0","","11","","11","","16.1","","102.08","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 11:00","2021","01","01","11:00","","1.7","","-4.2","","65","","0.0","","9","","13","","16.1","","101.98","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 12:00","2021","01","01","12:00","","2.2","","-3.9","","64","","0.0","","11","","17","","16.1","","101.79","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 13:00","2021","01","01","13:00","","2.1","","-4.0","","64","","0.0","","8","","26","","16.1","","101.63","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 14:00","2021","01","01","14:00","","2.2","","-3.5","","66","","0.0","","8","","34","","16.1","","101.41","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01 15:00","2021","01","01","15:00","","2.3","","-3.1","","68","","0.0","","9","","34","","16.1","","101.29","","","","","","NA"
