"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 00:00","2022","08","01","00:00","","19.3","","16.5","","84","","0.0","","24","","5","","16.1","","100.59","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 01:00","2022","08","01","01:00","","19.0","","16.6","","86","","0.0","","","M","4","","16.1","","100.55","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 02:00","2022","08","01","02:00","","18.5","","16.2","","86","","0.0","","24","","5","","16.1","","100.51","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 03:00","2022","08","01","03:00","","17.7","","15.7","","88","","0.0","","19","","5","","16.1","","100.47","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 04:00","2022","08","01","04:00","","17.4","","16.3","","93","","0.0","","21","","5","","16.1","","100.45","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 05:00","2022","08","01","05:00","","16.5","","15.5","","94","","0.0","","","","0","","16.1","","100.43","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 06:00","2022","08","01","06:00","","17.9","","17.1","","95","","0.0","","19","","4","","16.1","","100.41","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 07:00","2022","08","01","07:00","","19.9","","17.2","","84","","0.0","","8","","5","","16.1","","100.37","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 08:00","2022","08","01","08:00","","21.1","","18.7","","86","","0.0","","6","","11","","16.1","","100.32","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 09:00","2022","08","01","09:00","","22.1","","19.3","","84","","0.0","","18","","5","","16.1","","100.30","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 10:00","2022","08","01","10:00","","22.9","","19.8","","82","","0.0","","17","","11","","16.1","","100.25","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 11:00","2022","08","01","11:00","","25.3","","20.8","","76","","0.0","","17","","18","","16.1","","100.17","","34","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 12:00","2022","08","01","12:00","","24.0","","19.6","","76","","0.0","","17","","21","","16.1","","100.13","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 13:00","2022","08","01","13:00","","23.6","","19.3","","76","","0.0","","17","","21","","16.1","","100.05","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 14:00","2022","08","01","14:00","","22.9","","18.4","","76","","0.0","","19","","21","","16.1","","99.97","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 15:00","2022","08","01","15:00","","22.8","","17.8","","73","","0.0","","19","","18","","16.1","","99.91","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 16:00","2022","08","01","16:00","","22.0","","17.4","","75","","0.0","","20","","21","","16.1","","99.85","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 17:00","2022","08","01","17:00","","21.5","","17.3","","77","","0.0","","19","","18","","16.1","","99.80","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 18:00","2022","08","01","18:00","","21.1","","17.2","","78","","0.0","","20","","13","","16.1","","99.80","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 19:00","2022","08","01","19:00","","20.4","","19.1","","92","","0.0","","21","","13","","16.1","","99.76","","27","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 20:00","2022","08","01","20:00","","20.7","","18.3","","86","","0.2","","","M","4","","16.1","","99.72","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 21:00","2022","08","01","21:00","","20.7","","18.6","","88","","1.0","","27","","21","","12.9","","99.79","","27","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 22:00","2022","08","01","22:00","","20.8","","19.8","","94","","2.5","","30","","11","","14.5","","99.68","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-01 23:00","2022","08","01","23:00","","20.4","","20.1","","98","","0.0","","21","","8","","4.8","","99.69","","28","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-02 00:00","2022","08","02","00:00","","18.8","","18.5","","98","","0.0","","25","","9","","2.0","","99.74","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-02 01:00","2022","08","02","01:00","","21.3","","21.1","","99","","0.0","","28","","13","","11.3","","99.75","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-02 02:00","2022","08","02","02:00","","21.6","","19.0","","85","","0.0","","30","","21","","16.1","","99.79","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-02 03:00","2022","08","02","03:00","","21.9","","17.8","","77","","0.0","","30","","32","","16.1","","99.79","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-02 04:00","2022","08","02","04:00","","20.5","","16.6","","78","","0.0","","30","","26","","16.1","","99.89","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-02 05:00","2022","08","02","05:00","","20.1","","16.0","","77","","0.0","","30","","32","","16.1","","100.01","","25","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-02 06:00","2022","08","02","06:00","","19.8","","15.5","","76","","0.0","","28","","15","","16.1","","100.08","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-02 07:00","2022","08","02","07:00","","20.1","","15.6","","75","","0.0","","31","","30","","16.1","","100.14","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-02 08:00","2022","08","02","08:00","","21.0","","16.2","","74","","0.0","","31","","32","","16.1","","100.20","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-02 09:00","2022","08","02","09:00","","22.1","","16.2","","69","","0.0","","32","","32","","16.1","","100.22","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-02 10:00","2022","08","02","10:00","","23.1","","16.1","","64","","0.0","","30","","34","","16.1","","100.24","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-08-02 11:00","2022","08","02","11:00","","24.1","","15.8","","59","","0.0","","31","","21","","16.1","","100.27","","29","","","","NA"
