"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-04-01 00:00","2022","04","01","00:00","","4.8","","-0.3","","70","","0.0","","29","","28","","16.1","","99.10","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-04-01 01:00","2022","04","01","01:00","","4.1","","-1.7","","66","","0.0","","29","","32","","16.1","","99.12","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-04-01 02:00","2022","04","01","02:00","","3.7","","-1.5","","69","","0.0","","29","","24","","16.1","","99.11","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-04-01 03:00","2022","04","01","03:00","","3.3","","-1.9","","69","","0.0","","28","","28","","16.1","","99.16","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-04-01 04:00","2022","04","01","04:00","","3.0","","-2.1","","69","","0.0","","28","","28","","16.1","","99.17","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-04-01 05:00","2022","04","01","05:00","","2.1","","-0.7","","82","","0.0","","26","","21","","16.1","","99.22","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-04-01 06:00","2022","04","01","06:00","","1.8","","-0.3","","86","","0.0","","29","","21","","16.1","","99.30","","","","","","Rain,Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-04-01 07:00","2022","04","01","07:00","","1.0","","-0.3","","91","","0.0","","28","","22","","11.3","","99.37","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-04-01 08:00","2022","04","01","08:00","","2.0","","0.9","","92","","0.2","","26","","17","","16.1","","99.39","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-04-01 09:00","2022","04","01","09:00","","2.9","","-0.7","","77","","0.0","","28","","30","","16.1","","99.46","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-04-01 10:00","2022","04","01","10:00","","3.2","","-1.0","","74","","0.0","","29","","26","","16.1","","99.54","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-04-01 11:00","2022","04","01","11:00","","1.8","","-0.9","","82","","0.2","","32","","17","","16.1","","99.67","","","","","","NA"
