"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 00:00","2021","03","01","00:00","","4.5","","3.9","","96","","0.5","","28","","9","","16.1","","99.25","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 01:00","2021","03","01","01:00","","4.4","","3.8","","96","","0.0","","27","","11","","12.9","","99.28","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 02:00","2021","03","01","02:00","","6.2","","2.5","","77","","0.0","","28","","30","","16.1","","99.31","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 03:00","2021","03","01","03:00","","5.4","","2.0","","79","","0.0","","27","","21","","16.1","","99.38","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 04:00","2021","03","01","04:00","","5.2","","0.4","","71","","0.0","","29","","30","","16.1","","99.48","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 05:00","2021","03","01","05:00","","3.3","","-1.5","","71","","0.0","","30","","26","","16.1","","99.65","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 06:00","2021","03","01","06:00","","2.3","","-2.6","","70","","0.0","","29","","30","","16.1","","99.76","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 07:00","2021","03","01","07:00","","0.9","","-5.0","","65","","0.0","","29","","28","","16.1","","99.89","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 08:00","2021","03","01","08:00","","0.9","","-6.2","","59","","0.0","","29","","26","","16.1","","100.04","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 09:00","2021","03","01","09:00","","0.6","","-7.2","","56","","0.0","","29","","35","","16.1","","100.12","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 10:00","2021","03","01","10:00","","0.7","","-7.6","","54","","0.0","","30","","26","","16.1","","100.18","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 11:00","2021","03","01","11:00","","0.2","","-7.3","","57","","0.0","","28","","22","","16.1","","100.18","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 12:00","2021","03","01","12:00","","-0.7","","-5.7","","69","","0.0","","32","","15","","16.1","","100.21","","","","-5","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 13:00","2021","03","01","13:00","","-0.8","","-6.1","","68","","0.0","","28","","32","","16.1","","100.21","","","","-8","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 14:00","2021","03","01","14:00","","-0.6","","-8.5","","55","","0.0","","30","","41","","16.1","","100.24","","","","-8","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 15:00","2021","03","01","15:00","","-1.1","","-13.3","","39","","0.0","","28","","46","","16.1","","100.39","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 16:00","2021","03","01","16:00","","-2.6","","-14.5","","40","","0.0","","30","","52","","16.1","","100.50","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 17:00","2021","03","01","17:00","","-4.0","","-14.6","","44","","0.0","","29","","58","","16.1","","100.67","","","","-14","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 18:00","2021","03","01","18:00","","-5.9","","-14.6","","51","","0.0","","30","","48","","16.1","","100.86","","","","-16","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 19:00","2021","03","01","19:00","","-6.6","","-15.4","","50","","0.0","","30","","39","","16.1","","101.02","","","","-16","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 20:00","2021","03","01","20:00","","-7.4","","-16.2","","50","","0.0","","29","","41","","16.1","","101.15","","","","-17","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 21:00","2021","03","01","21:00","","-7.8","","-17.3","","47","","0.0","","30","","37","","16.1","","101.21","","","","-18","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 22:00","2021","03","01","22:00","","-8.2","","-16.2","","53","","0.0","","29","","37","","16.1","","101.28","","","","-18","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-01 23:00","2021","03","01","23:00","","-8.5","","-16.7","","52","","0.0","","29","","30","","16.1","","101.37","","","","-18","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-02 00:00","2021","03","02","00:00","","-8.8","","-18.4","","46","","0.0","","31","","34","","16.1","","101.46","","","","-18","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-02 01:00","2021","03","02","01:00","","-9.3","","-17.9","","50","","0.0","","32","","13","","16.1","","101.55","","","","-15","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-03-02 02:00","2021","03","02","02:00","","-11.1","","-16.1","","67","","0.0","","1","","13","","16.1","","101.67","","","","-18","","NA"
