"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 00:00","2021","06","01","00:00","","12.9","","7.2","","68","","0.0","","22","","4","","16.1","","101.32","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 01:00","2021","06","01","01:00","","12.9","","7.2","","68","","0.0","","24","","4","","16.1","","101.29","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 02:00","2021","06","01","02:00","","13.6","","7.4","","66","","0.0","","20","","18","","16.1","","101.28","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 03:00","2021","06","01","03:00","","14.0","","7.7","","66","","0.0","","19","","13","","16.1","","101.30","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 04:00","2021","06","01","04:00","","13.4","","7.9","","69","","0.0","","16","","9","","16.1","","101.31","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 05:00","2021","06","01","05:00","","11.8","","8.5","","80","","0.0","","","M","4","","16.1","","101.36","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 06:00","2021","06","01","06:00","","12.5","","8.5","","77","","0.0","","21","","11","","16.1","","101.37","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 07:00","2021","06","01","07:00","","13.7","","9.0","","73","","0.0","","22","","9","","16.1","","101.40","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 08:00","2021","06","01","08:00","","15.1","","9.4","","69","","0.0","","22","","11","","16.1","","101.40","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 09:00","2021","06","01","09:00","","15.6","","10.2","","70","","0.0","","19","","15","","16.1","","101.40","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 10:00","2021","06","01","10:00","","15.7","","9.8","","68","","0.0","","19","","17","","16.1","","101.37","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 11:00","2021","06","01","11:00","","16.7","","10.0","","64","","0.0","","19","","18","","16.1","","101.34","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 12:00","2021","06","01","12:00","","17.0","","8.9","","59","","0.0","","19","","21","","16.1","","101.31","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 13:00","2021","06","01","13:00","","19.0","","8.9","","52","","0.0","","18","","21","","16.1","","101.25","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 14:00","2021","06","01","14:00","","20.5","","9.0","","47","","0.0","","18","","22","","16.1","","101.20","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 15:00","2021","06","01","15:00","","22.3","","8.0","","39","","0.0","","17","","18","","16.1","","101.18","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-06-01 16:00","2021","06","01","16:00","","20.0","","8.6","","47","","0.0","","17","","21","","16.1","","101.17","","","","","","NA"
