"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 00:00","2018","07","01","00:00","","21.5","","19.5","","88","","0.0","","23","","11","","16.1","","100.51","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 01:00","2018","07","01","01:00","","22.4","","20.2","","87","","0.0","","","M","4","","16.1","","100.65","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 02:00","2018","07","01","02:00","","22.2","","20.3","","89","","0.0","","","","0","","16.1","","100.67","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 03:00","2018","07","01","03:00","","21.6","","20.1","","91","","0.0","","7","","5","","16.1","","100.64","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 04:00","2018","07","01","04:00","","21.4","","20.2","","93","","0.0","","","","0","","9.7","","100.62","","29","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 05:00","2018","07","01","05:00","","21.0","","20.0","","94","","0.0","","","","0","","8.1","","100.65","","29","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 06:00","2018","07","01","06:00","","22.3","","20.8","","91","","0.0","","","M","4","","12.9","","100.67","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 07:00","2018","07","01","07:00","","22.5","","21.0","","91","","0.0","","22","","5","","11.3","","100.69","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 08:00","2018","07","01","08:00","","22.5","","21.0","","91","","0.0","","24","","8","","11.3","","100.70","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 09:00","2018","07","01","09:00","","23.4","","21.3","","88","","0.0","","21","","8","","12.9","","100.69","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 10:00","2018","07","01","10:00","","24.2","","21.8","","86","","0.0","","23","","8","","14.5","","100.69","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 11:00","2018","07","01","11:00","","26.3","","22.7","","80","","0.0","","18","","21","","16.1","","100.61","","36","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 12:00","2018","07","01","12:00","","27.6","","23.1","","76","","0.0","","18","","21","","16.1","","100.57","","38","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 13:00","2018","07","01","13:00","","29.6","","23.3","","68","","0.0","","18","","18","","16.1","","100.54","","40","","","","NA"
