"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-04-01 00:00","2023","04","01","00:00","","3.8","","3.5","","98","","0.8","","6","","35","","6.4","","99.22","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-04-01 01:00","2023","04","01","01:00","","4.1","","3.8","","98","","3.8","","6","","32","","6.4","","98.95","","","","","","Moderate Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-04-01 02:00","2023","04","01","02:00","","4.3","","4.0","","98","","8.8","","7","","30","","4.8","","98.82","","","","","","Moderate Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-04-01 03:00","2023","04","01","03:00","","4.7","","4.4","","98","","5.8","","6","","34","","6.4","","98.48","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-04-01 04:00","2023","04","01","04:00","","5.5","","5.2","","98","","2.0","","6","","35","","12.9","","98.29","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-04-01 05:00","2023","04","01","05:00","","6.6","","6.5","","99","","0.2","","7","","13","","3.2","","98.27","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-04-01 06:00","2023","04","01","06:00","","6.3","","6.2","","99","","0.0","","21","","8","","0.2","","98.27","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-04-01 07:00","2023","04","01","07:00","","4.1","","4.0","","99","","0.0","","23","","8","","0.2","","98.34","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-04-01 08:00","2023","04","01","08:00","","5.8","","5.7","","99","","0.0","","25","","11","","16.1","","98.29","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-04-01 09:00","2023","04","01","09:00","","7.2","","5.5","","89","","0.0","","22","","22","","16.1","","98.32","","","","","","NA"
