"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 00:00","2016","03","01","00:00","","-5.9","","-14.2","","52","","0.0","","30","","18","","16.1","","101.16","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 01:00","2016","03","01","01:00","","-6.2","","-14.5","","52","","0.0","","32","","22","","16.1","","101.21","","","","-13","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 02:00","2016","03","01","02:00","","-6.4","","-14.6","","53","","0.0","","33","","17","","16.1","","101.21","","","","-13","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 03:00","2016","03","01","03:00","","-6.7","","-13.9","","57","","0.0","","32","","9","","16.1","","101.23","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 04:00","2016","03","01","04:00","","-6.8","","-14.2","","56","","0.0","","6","","9","","16.1","","101.24","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 05:00","2016","03","01","05:00","","-7.4","","-13.2","","63","","0.0","","6","","17","","16.1","","101.29","","","","-14","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 06:00","2016","03","01","06:00","","-7.8","","-13.6","","64","","0.0","","6","","21","","16.1","","101.28","","","","-15","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 07:00","2016","03","01","07:00","","-8.2","","-13.9","","64","","0.0","","6","","24","","16.1","","101.23","","","","-16","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 08:00","2016","03","01","08:00","","-7.9","","-13.5","","65","","0.0","","6","","24","","16.1","","101.27","","","","-16","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 09:00","2016","03","01","09:00","","-7.0","","-11.1","","73","","0.0","","5","","32","","16.1","","101.25","","","","-16","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 10:00","2016","03","01","10:00","","-7.2","","-9.3","","85","","0.0","","6","","28","","3.6","","101.22","","","","-16","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 11:00","2016","03","01","11:00","","-6.8","","-8.6","","87","","0.0","","6","","39","","3.6","","101.11","","","","-16","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 12:00","2016","03","01","12:00","","-6.4","","-8.0","","89","","0.0","","7","","45","","16.1","","100.85","","","","-16","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 13:00","2016","03","01","13:00","","-6.2","","-7.7","","89","","0.0","","6","","45","","16.1","","100.66","","","","-16","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 14:00","2016","03","01","14:00","","-6.4","","-8.3","","87","","0.0","","6","","48","","16.1","","100.54","","","","-17","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 15:00","2016","03","01","15:00","","-6.1","","-7.8","","88","","0.0","","7","","52","","16.1","","100.34","","","","-17","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 16:00","2016","03","01","16:00","","-5.6","","-7.3","","88","","0.0","","7","","55","","16.1","","100.13","","","","-16","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2016-03-01 17:00","2016","03","01","17:00","","-5.5","","-7.0","","90","","0.0","","7","","48","","16.1","","99.95","","","","-15","","Snow"
