"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 00:00","2025","12","01","00:00","","0.6","","-4.6","","68","","0.0","","32","","26","","16.1","","101.33","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 01:00","2025","12","01","01:00","","-0.3","","-5.9","","66","","0.0","","30","","26","","16.1","","101.44","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 02:00","2025","12","01","02:00","","-1.6","","-7.0","","67","","0.0","","31","","30","","16.1","","101.61","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 03:00","2025","12","01","03:00","","-2.1","","-9.5","","57","","0.0","","30","","26","","16.1","","101.74","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 04:00","2025","12","01","04:00","","-3.3","","-10.4","","58","","0.0","","30","","21","","16.1","","101.86","","","","-10","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 05:00","2025","12","01","05:00","","-4.2","","-10.9","","60","","0.0","","32","","15","","16.1","","101.96","","","","-10","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 06:00","2025","12","01","06:00","","-4.6","","-10.4","","64","","0.0","","31","","18","","16.1","","102.03","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 07:00","2025","12","01","07:00","","-4.9","","-9.2","","72","","0.0","","31","","9","","16.1","","102.12","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 08:00","2025","12","01","08:00","","-5.0","","-9.4","","71","","0.0","","32","","8","","16.1","","102.12","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 09:00","2025","12","01","09:00","","-4.7","","-9.9","","67","","0.0","","6","","8","","16.1","","102.20","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 10:00","2025","12","01","10:00","","-4.1","","-10.1","","63","","0.0","","","","0","","16.1","","102.24","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 11:00","2025","12","01","11:00","","-2.9","","-9.1","","63","","0.0","","12","","11","","16.1","","102.17","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2025-12-01 12:00","2025","12","01","12:00","","-3.3","","-9.6","","62","","0.0","","13","","13","","16.1","","102.09","","","","-8","","NA"
