"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 00:00","2021","04","01","00:00","","2.0","","-5.6","","57","","0.0","","33","","22","","16.1","","101.00","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 01:00","2021","04","01","01:00","","1.3","","-7.0","","54","","0.0","","32","","18","","16.1","","101.08","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 02:00","2021","04","01","02:00","","0.5","","-8.3","","52","","0.0","","29","","18","","16.1","","101.05","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 03:00","2021","04","01","03:00","","-0.1","","-9.1","","51","","0.0","","30","","21","","16.1","","101.03","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 04:00","2021","04","01","04:00","","-0.5","","-9.2","","52","","0.0","","30","","18","","16.1","","100.99","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 05:00","2021","04","01","05:00","","-0.9","","-9.8","","51","","0.0","","31","","13","","16.1","","100.98","","","","-5","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 06:00","2021","04","01","06:00","","-1.2","","-9.6","","53","","0.0","","30","","11","","16.1","","100.98","","","","-5","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 07:00","2021","04","01","07:00","","-0.9","","-9.4","","53","","0.0","","30","","17","","16.1","","101.01","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 08:00","2021","04","01","08:00","","0.6","","-8.8","","50","","0.0","","31","","15","","16.1","","101.03","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 09:00","2021","04","01","09:00","","1.3","","-6.8","","55","","0.0","","33","","18","","16.1","","101.04","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 10:00","2021","04","01","10:00","","0.7","","-6.1","","60","","0.0","","35","","15","","16.1","","101.12","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 11:00","2021","04","01","11:00","","1.4","","-6.4","","56","","0.0","","33","","21","","16.1","","101.15","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 12:00","2021","04","01","12:00","","2.0","","-6.6","","53","","0.0","","31","","22","","16.1","","101.14","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 13:00","2021","04","01","13:00","","2.8","","-9.0","","42","","0.0","","32","","37","","16.1","","101.18","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 14:00","2021","04","01","14:00","","2.4","","-9.2","","42","","0.0","","31","","26","","16.1","","101.19","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 15:00","2021","04","01","15:00","","0.3","","-10.9","","43","","0.0","","33","","28","","16.1","","101.27","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 16:00","2021","04","01","16:00","","-0.4","","-11.1","","45","","0.0","","31","","28","","16.1","","101.34","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 17:00","2021","04","01","17:00","","-0.7","","-11.7","","43","","0.0","","32","","30","","16.1","","101.39","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 18:00","2021","04","01","18:00","","-0.3","","-12.2","","40","","0.0","","31","","32","","16.1","","101.42","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 19:00","2021","04","01","19:00","","-0.3","","-13.3","","37","","0.0","","33","","22","","16.1","","101.48","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 20:00","2021","04","01","20:00","","-0.4","","-15.2","","32","","0.0","","34","","15","","16.1","","101.58","","","","-5","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 21:00","2021","04","01","21:00","","-0.6","","-15.4","","32","","0.0","","33","","21","","16.1","","101.64","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 22:00","2021","04","01","22:00","","-0.7","","-15.9","","31","","0.0","","32","","21","","16.1","","101.65","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-01 23:00","2021","04","01","23:00","","-0.7","","-16.7","","29","","0.0","","35","","17","","16.1","","101.67","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-02 00:00","2021","04","02","00:00","","-1.0","","-16.6","","30","","0.0","","34","","15","","16.1","","101.68","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-02 01:00","2021","04","02","01:00","","-1.3","","-16.5","","31","","0.0","","34","","17","","16.1","","101.69","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-02 02:00","2021","04","02","02:00","","-1.6","","-17.1","","30","","0.0","","34","","15","","16.1","","101.69","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-02 03:00","2021","04","02","03:00","","-2.2","","-16.5","","33","","0.0","","32","","15","","16.1","","101.74","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-02 04:00","2021","04","02","04:00","","-2.6","","-16.5","","34","","0.0","","33","","17","","16.1","","101.79","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-02 05:00","2021","04","02","05:00","","-2.8","","-16.3","","35","","0.0","","34","","18","","16.1","","101.86","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-04-02 06:00","2021","04","02","06:00","","-3.4","","-16.1","","37","","0.0","","32","","11","","16.1","","101.95","","","","-8","","NA"
