"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-11-01 00:00","2021","11","01","00:00","","9.3","","3.1","","65","","0.0","","29","","30","","16.1","","100.10","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-11-01 01:00","2021","11","01","01:00","","8.5","","3.1","","69","","0.0","","28","","24","","16.1","","100.21","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-11-01 02:00","2021","11","01","02:00","","8.0","","1.4","","63","","0.0","","29","","28","","16.1","","100.29","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-11-01 03:00","2021","11","01","03:00","","7.7","","1.1","","63","","0.0","","28","","24","","16.1","","100.41","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-11-01 04:00","2021","11","01","04:00","","7.0","","0.7","","64","","0.0","","27","","21","","16.1","","100.50","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-11-01 05:00","2021","11","01","05:00","","7.1","","1.5","","68","","0.0","","26","","26","","16.1","","100.60","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-11-01 06:00","2021","11","01","06:00","","6.6","","2.0","","72","","0.0","","26","","26","","16.1","","100.68","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-11-01 07:00","2021","11","01","07:00","","6.5","","1.8","","72","","0.0","","24","","22","","16.1","","100.74","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-11-01 08:00","2021","11","01","08:00","","7.3","","2.4","","71","","0.0","","26","","24","","16.1","","100.86","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-11-01 09:00","2021","11","01","09:00","","8.4","","2.4","","66","","0.0","","25","","32","","16.1","","100.92","","","","","","NA"
