"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-11-01 00:00","2017","11","01","00:00","","5.4","","0.0","","68","","0.0","","22","","9","","16.1","","101.20","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-11-01 01:00","2017","11","01","01:00","","5.3","","0.9","","73","","0.0","","19","","13","","16.1","","101.19","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-11-01 02:00","2017","11","01","02:00","","5.2","","0.8","","73","","0.0","","22","","17","","16.1","","101.20","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-11-01 03:00","2017","11","01","03:00","","5.2","","1.1","","75","","0.0","","22","","15","","16.1","","101.19","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-11-01 04:00","2017","11","01","04:00","","5.1","","0.7","","73","","0.0","","23","","15","","16.1","","101.21","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-11-01 05:00","2017","11","01","05:00","","5.0","","-0.3","","69","","0.0","","25","","13","","16.1","","101.26","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-11-01 06:00","2017","11","01","06:00","","4.8","","0.0","","71","","0.0","","23","","9","","16.1","","101.24","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-11-01 07:00","2017","11","01","07:00","","4.8","","0.6","","74","","0.0","","24","","8","","16.1","","101.28","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-11-01 08:00","2017","11","01","08:00","","5.1","","0.5","","72","","0.0","","21","","4","","16.1","","101.36","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-11-01 09:00","2017","11","01","09:00","","5.6","","0.7","","71","","0.0","","","","0","","16.1","","101.35","","","","","","NA"
