"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 00:00","2026","02","01","00:00","","-10.8","","-17.8","","57","","0.0","","35","","28","","16.1","","101.42","","","","-20","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 01:00","2026","02","01","01:00","","-11.3","","-17.6","","60","","0.0","","34","","13","","16.1","","101.39","","","","-18","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 02:00","2026","02","01","02:00","","-11.8","","-17.8","","62","","0.0","","35","","21","","16.1","","101.36","","","","-20","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 03:00","2026","02","01","03:00","","-12.2","","-17.9","","63","","0.0","","35","","13","","16.1","","101.39","","","","-19","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 04:00","2026","02","01","04:00","","-13.2","","-18.7","","64","","0.0","","33","","17","","16.1","","101.38","","","","-21","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 05:00","2026","02","01","05:00","","-14.0","","-19.1","","66","","0.0","","33","","21","","16.1","","101.38","","","","-23","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 06:00","2026","02","01","06:00","","-13.9","","-19.2","","65","","0.0","","32","","18","","16.1","","101.37","","","","-22","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 07:00","2026","02","01","07:00","","-14.2","","-19.4","","65","","0.0","","33","","15","","16.1","","101.35","","","","-22","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 08:00","2026","02","01","08:00","","-14.7","","-19.8","","66","","0.0","","31","","11","","16.1","","101.35","","","","-21","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 09:00","2026","02","01","09:00","","-13.8","","-19.4","","63","","0.0","","30","","11","","16.1","","101.37","","","","-20","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 10:00","2026","02","01","10:00","","-11.4","","-18.4","","57","","0.0","","36","","11","","16.1","","101.37","","","","-17","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 11:00","2026","02","01","11:00","","-9.9","","-18.5","","50","","0.0","","35","","15","","16.1","","101.35","","","","-17","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 12:00","2026","02","01","12:00","","-8.9","","-17.8","","49","","0.0","","31","","11","","16.1","","101.32","","","","-14","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 13:00","2026","02","01","13:00","","-7.2","","-18.4","","41","","0.0","","30","","15","","16.1","","101.22","","","","-13","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 14:00","2026","02","01","14:00","","-5.4","","-19.8","","32","","0.0","","31","","22","","16.1","","101.11","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 15:00","2026","02","01","15:00","","-4.8","","-18.4","","34","","0.0","","32","","15","","16.1","","101.09","","","","-10","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 16:00","2026","02","01","16:00","","-4.8","","-18.4","","34","","0.0","","31","","24","","16.1","","101.07","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 17:00","2026","02","01","17:00","","-5.1","","-16.7","","40","","0.0","","32","","15","","16.1","","101.11","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 18:00","2026","02","01","18:00","","-6.0","","-17.2","","41","","0.0","","32","","17","","16.1","","101.16","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 19:00","2026","02","01","19:00","","-6.8","","-15.4","","51","","0.0","","31","","9","","16.1","","101.20","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 20:00","2026","02","01","20:00","","-7.1","","-15.6","","51","","0.0","","31","","11","","16.1","","101.20","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 21:00","2026","02","01","21:00","","-7.8","","-16.8","","49","","0.0","","31","","8","","16.1","","101.20","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 22:00","2026","02","01","22:00","","-8.5","","-16.7","","52","","0.0","","30","","18","","16.1","","101.19","","","","-16","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-01 23:00","2026","02","01","23:00","","-8.9","","-16.2","","56","","0.0","","31","","15","","16.1","","101.18","","","","-15","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 00:00","2026","02","02","00:00","","-9.1","","-15.5","","60","","0.0","","31","","11","","16.1","","101.19","","","","-15","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 01:00","2026","02","02","01:00","","-9.6","","-15.4","","63","","0.0","","28","","13","","16.1","","101.22","","","","-16","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 02:00","2026","02","02","02:00","","-10.0","","-15.6","","64","","0.0","","27","","9","","16.1","","101.25","","","","-15","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 03:00","2026","02","02","03:00","","-10.3","","-15.1","","68","","0.0","","27","","9","","16.1","","101.23","","","","-15","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 04:00","2026","02","02","04:00","","-10.0","","-13.1","","78","","0.0","","27","","11","","16.1","","101.23","","","","-16","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 05:00","2026","02","02","05:00","","-10.5","","-13.2","","81","","0.0","","28","","11","","16.1","","101.23","","","","-16","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 06:00","2026","02","02","06:00","","-11.0","","-13.7","","81","","0.0","","29","","5","","16.1","","101.24","","","","-14","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 07:00","2026","02","02","07:00","","-10.8","","-13.0","","84","","0.0","","29","","8","","16.1","","101.25","","","","-15","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 08:00","2026","02","02","08:00","","-10.9","","-12.8","","86","","0.0","","29","","11","","16.1","","101.28","","","","-17","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 09:00","2026","02","02","09:00","","-9.8","","-11.8","","86","","0.0","","27","","8","","16.1","","101.30","","","","-14","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 10:00","2026","02","02","10:00","","-8.5","","-10.4","","86","","0.0","","25","","5","","16.1","","101.27","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 11:00","2026","02","02","11:00","","-7.5","","-9.9","","83","","0.0","","20","","5","","16.1","","101.24","","","","-10","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 12:00","2026","02","02","12:00","","-6.7","","-9.9","","78","","0.0","","21","","17","","16.1","","101.21","","","","-13","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 13:00","2026","02","02","13:00","","-5.9","","-10.4","","71","","0.0","","23","","11","","16.1","","101.13","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 14:00","2026","02","02","14:00","","-5.6","","-8.9","","78","","0.0","","21","","15","","11.3","","101.05","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 15:00","2026","02","02","15:00","","-4.9","","-8.5","","76","","0.0","","21","","15","","12.9","","101.00","","","","-10","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 16:00","2026","02","02","16:00","","-4.3","","-8.4","","73","","0.0","","21","","22","","14.5","","100.98","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 17:00","2026","02","02","17:00","","-4.6","","-8.6","","74","","0.0","","21","","22","","16.1","","100.99","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 18:00","2026","02","02","18:00","","-4.5","","-9.2","","70","","0.0","","23","","18","","16.1","","101.00","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 19:00","2026","02","02","19:00","","-4.3","","-9.2","","69","","0.0","","23","","22","","16.1","","101.01","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 20:00","2026","02","02","20:00","","-4.5","","-8.7","","73","","0.0","","24","","30","","16.1","","101.01","","","","-12","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 21:00","2026","02","02","21:00","","-4.3","","-7.4","","79","","0.0","","24","","28","","16.1","","101.01","","","","-12","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 22:00","2026","02","02","22:00","","-4.6","","-7.7","","79","","0.0","","24","","30","","11.3","","100.98","","","","-12","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-02 23:00","2026","02","02","23:00","","-4.5","","-7.3","","81","","0.0","","25","","21","","9.7","","100.97","","","","-11","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 00:00","2026","02","03","00:00","","-4.5","","-6.8","","84","","0.0","","24","","26","","6.4","","100.95","","","","-12","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 01:00","2026","02","03","01:00","","-4.5","","-7.3","","81","","0.0","","25","","21","","9.7","","100.96","","","","-11","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 02:00","2026","02","03","02:00","","-4.6","","-7.2","","82","","0.0","","25","","18","","8.1","","100.96","","","","-11","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 03:00","2026","02","03","03:00","","-4.3","","-7.3","","80","","0.0","","24","","22","","11.3","","100.98","","","","-11","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 04:00","2026","02","03","04:00","","-4.3","","-7.3","","80","","0.0","","24","","22","","9.7","","100.96","","","","-11","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 05:00","2026","02","03","05:00","","-4.0","","-6.8","","81","","0.0","","24","","22","","8.1","","100.93","","","","-11","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 06:00","2026","02","03","06:00","","-3.7","","-6.3","","82","","0.0","","23","","21","","6.4","","100.91","","","","-10","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 07:00","2026","02","03","07:00","","-3.6","","-6.2","","82","","0.0","","22","","15","","6.4","","100.91","","","","-9","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 08:00","2026","02","03","08:00","","-3.6","","-6.2","","82","","0.0","","24","","13","","6.4","","100.93","","","","-8","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 09:00","2026","02","03","09:00","","-3.3","","-6.0","","82","","0.0","","23","","17","","6.4","","100.93","","","","-9","","Haze"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 10:00","2026","02","03","10:00","","-2.7","","-5.5","","81","","0.0","","24","","18","","8.1","","100.93","","","","-8","","Haze"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 11:00","2026","02","03","11:00","","-2.3","","-5.8","","77","","0.0","","24","","26","","16.1","","100.91","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 12:00","2026","02","03","12:00","","-1.9","","-5.8","","75","","0.0","","24","","35","","16.1","","100.87","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 13:00","2026","02","03","13:00","","-3.3","","-7.1","","75","","0.0","","29","","35","","12.9","","100.91","","","","-11","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 14:00","2026","02","03","14:00","","-3.5","","-10.4","","59","","0.0","","29","","34","","16.1","","100.94","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2026-02-03 15:00","2026","02","03","15:00","","-4.5","","-11.8","","57","","0.0","","28","","32","","11.3","","100.99","","","","-13","","NA"
