"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 00:00","2017","05","01","00:00","","5.0","","4.1","","94","","0.2","","6","","28","","12.9","","100.32","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 01:00","2017","05","01","01:00","","5.2","","4.3","","94","","1.5","","7","","28","","14.5","","100.14","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 02:00","2017","05","01","02:00","","6.0","","5.1","","94","","0.0","","6","","28","","16.1","","100.00","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 03:00","2017","05","01","03:00","","6.3","","5.3","","93","","0.5","","4","","15","","16.1","","100.07","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 04:00","2017","05","01","04:00","","6.5","","5.8","","95","","0.0","","7","","26","","16.1","","99.93","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 05:00","2017","05","01","05:00","","6.8","","6.2","","96","","0.0","","7","","30","","16.1","","99.85","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 06:00","2017","05","01","06:00","","6.7","","6.1","","96","","0.0","","7","","22","","16.1","","99.86","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 07:00","2017","05","01","07:00","","6.7","","6.3","","97","","0.0","","7","","22","","8.1","","99.86","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 08:00","2017","05","01","08:00","","7.1","","6.5","","96","","0.0","","7","","21","","16.1","","99.88","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 09:00","2017","05","01","09:00","","7.8","","7.1","","95","","0.2","","7","","26","","16.1","","99.80","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 10:00","2017","05","01","10:00","","8.0","","7.3","","95","","1.2","","7","","35","","16.1","","99.66","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 11:00","2017","05","01","11:00","","7.2","","6.6","","96","","3.8","","7","","34","","6.4","","99.60","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 12:00","2017","05","01","12:00","","7.3","","6.9","","97","","0.5","","7","","30","","16.1","","99.46","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 13:00","2017","05","01","13:00","","7.8","","7.4","","97","","2.5","","7","","37","","16.1","","99.20","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 14:00","2017","05","01","14:00","","9.7","","9.4","","98","","5.5","","9","","15","","8.1","","99.22","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 15:00","2017","05","01","15:00","","9.8","","9.4","","97","","5.2","","9","","15","","8.1","","99.10","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 16:00","2017","05","01","16:00","","9.5","","9.2","","98","","2.8","","7","","22","","16.1","","98.93","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 17:00","2017","05","01","17:00","","11.8","","11.5","","98","","0.2","","11","","15","","16.1","","98.84","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 18:00","2017","05","01","18:00","","11.0","","10.6","","97","","0.0","","","M","8","","16.1","","98.88","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 19:00","2017","05","01","19:00","","10.5","","9.9","","96","","0.0","","","M","4","","16.1","","98.82","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 20:00","2017","05","01","20:00","","9.8","","9.4","","97","","0.0","","24","","5","","14.5","","98.86","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 21:00","2017","05","01","21:00","","9.2","","8.5","","95","","0.0","","22","","24","","16.1","","98.96","","","","","","NA"
