"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-05-01 00:00","2018","05","01","00:00","","7.4","","2.2","","70","","0.0","","20","","11","","16.1","","100.82","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-05-01 01:00","2018","05","01","01:00","","7.1","","1.8","","69","","0.0","","","","0","","16.1","","100.77","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-05-01 02:00","2018","05","01","02:00","","6.5","","2.4","","75","","0.0","","26","","4","","16.1","","100.77","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-05-01 03:00","2018","05","01","03:00","","6.6","","1.4","","69","","0.0","","27","","4","","16.1","","100.77","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-05-01 04:00","2018","05","01","04:00","","6.2","","1.5","","72","","0.0","","25","","8","","16.1","","100.75","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-05-01 05:00","2018","05","01","05:00","","5.6","","2.1","","78","","0.0","","24","","4","","16.1","","100.74","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-05-01 06:00","2018","05","01","06:00","","6.3","","2.4","","76","","0.0","","21","","4","","16.1","","100.78","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-05-01 07:00","2018","05","01","07:00","","7.0","","1.7","","69","","0.0","","","M","4","","16.1","","100.83","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-05-01 08:00","2018","05","01","08:00","","7.1","","1.7","","68","","0.0","","22","","8","","16.1","","100.80","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-05-01 09:00","2018","05","01","09:00","","8.1","","2.7","","69","","0.0","","24","","9","","16.1","","100.80","","","","","","NA"
