delay_code,row_count,mapped_delay_code,fuzzy_score,include_code,remarks
PRSP,9,PUSTP,67,,
ERLT,7,EULT,75,1,Why is there R and O difference so many times?
MFO,7,MUO,67,1,Why is there R and O difference so many times?
MRPLC,7,MUPLC,80,1,Why is there R and O difference so many times?
PUDCS,7,PUDCS,100,1,
SRSA,7,SUSA,75,1,Why is there R and O difference so many times?
MRESA,5,MUESA,80,1,Why is there R and O difference so many times?
ERVE,4,EUVE,75,1,Why is there R and O difference so many times?
MTUI,4,MUI,86,,
SFDP,4,SUDP,75,,
SRBT,4,SUBT,75,1,Why is there R and O difference so many times?
ERWS,3,EUSC,50,,
MUCSA,3,MUCSA,100,1,
TUUR,3,TUUR,100,1,
EUCH,2,EUCH,100,1,
MRFS,2,MUFS,75,1,Why is there R and O difference so many times?
MRLD,2,MULD,75,1,Why is there R and O difference so many times?
MTO,2,MUTO,86,,
PUSEA,2,PUSEA,100,1,
SFO,2,SUO,67,,
ERTO,1,EUO,57,,
ETCA,1,EUCA,75,,
EUTAC,1,EUAC,89,,
MRPR1,1,MUPR1,80,,
MTAFR,1,MUD,45,,
PUCBI,1,PUCBI,100,1,
PUSBE,1,PUSBE,100,1,
PUSIC,1,PUSI,89,,
PUTN,1,PUTDN,89,,
SFAE,1,SUAE,75,,
SFAP,1,SUAP,75,,
SRSP,1,SUSP,75,,
STDP,1,SUDP,75,,
STO,1,PUMST,72,,
SUPD,1,SUAP,75,,
TRDOE,1,TUDOE,80,,
TUTD,1,MUTD,75,,
